iso_time,window_id,checkpoint_s,secs_left,price,strike,cushion,favorite,fav_has_book,fav_best_ask,fav_spread,fav_depth,loser_best_ask,loser_depth,our_p_win,our_edge,fillable_edge
2026-06-17T13:29:00Z,1781702700,60,59.7,64846.73,64849.93,-3.19,DOWN,True,0.54,0.01,427.5,0.47,42.1,0.5336,-0.0064,False
2026-06-17T13:29:30Z,1781702700,30,29.6,64873.64,64849.93,23.71,UP,True,0.98,0.01,939.0,0.04,24.2,0.8336,-0.1464,False
2026-06-17T13:29:45Z,1781702700,15,14.7,64849.73,64849.93,-0.2,DOWN,True,0.57,0.01,90.0,0.44,18.3,0.5063,-0.0637,False
2026-06-17T13:33:00Z,1781703000,120,119.7,64981.51,64870.5,111.0,UP,True,0.98,0.01,1767.6,0.03,1005.2,0.9766,-0.0034,False
2026-06-17T13:33:30Z,1781703000,90,89.5,65005.06,64870.5,134.55,UP,False,,,0.0,0.01,4470.7,0.9863,,False
2026-06-17T13:34:00Z,1781703000,60,59.5,65002.09,64870.5,131.59,UP,False,,,0.0,0.01,6253.3,0.997,,False
2026-06-17T13:34:30Z,1781703000,30,30.0,64972.44,64870.5,101.94,UP,True,0.99,0.01,485.0,0.02,183.0,1.0,0.01,False
2026-06-17T13:34:45Z,1781703000,15,14.5,64947.17,64870.5,76.67,UP,False,,,0.0,0.001,2031.1,1.0,,False
2026-06-17T13:38:00Z,1781703300,120,120.0,65154.72,64973.54,181.18,UP,False,,,0.0,0.01,5288.5,0.9723,,False
2026-06-17T13:38:30Z,1781703300,90,89.9,65175.33,64973.54,201.79,UP,False,,,0.0,0.01,9441.9,0.9928,,False
2026-06-17T13:39:00Z,1781703300,60,59.7,65123.2,64973.54,149.66,UP,False,,,0.0,0.01,4267.4,0.9985,,False
2026-06-17T13:39:30Z,1781703300,30,29.6,65157.33,64973.54,183.79,UP,False,,,0.0,0.01,35629.3,1.0,,False
2026-06-17T13:39:45Z,1781703300,15,14.6,65159.12,64973.54,185.58,UP,False,,,0.0,0.001,2787.9,1.0,,False
2026-06-17T13:43:00Z,1781703600,120,119.7,65218.64,65164.35,54.29,UP,True,0.77,0.01,614.9,0.24,672.0,0.8035,0.0335,False
2026-06-17T13:43:30Z,1781703600,90,89.6,65195.93,65164.35,31.58,UP,True,0.66,0.02,0.7,0.36,78.8,0.7058,0.0458,False
2026-06-17T13:44:00Z,1781703600,60,60.0,65166.23,65164.35,1.88,UP,True,0.47,0.01,628.2,0.54,108.2,0.5175,0.0475,False
2026-06-17T13:44:30Z,1781703600,30,29.9,65191.72,65164.35,27.37,UP,True,0.73,0.01,598.5,0.28,64.4,0.8981,0.1681,True
2026-06-17T13:44:45Z,1781703600,15,14.9,65213.65,65164.35,49.3,UP,True,0.97,0.01,198.6,0.04,740.9,1.0,0.03,False
2026-06-17T13:48:00Z,1781703900,120,119.9,65232.97,65226.99,5.98,UP,True,0.6,0.01,83.0,0.41,558.1,0.532,-0.068,False
2026-06-17T13:48:30Z,1781703900,90,89.7,65239.84,65226.99,12.85,UP,True,0.67,0.01,24.9,0.34,492.9,0.6164,-0.0536,False
